300: ftp://ftp.kymartian.ky.gov/kyaped/LAZ/
200: filename content-length last-modified file-type
201: "N018E297.laz" 47145084 Mon%2C%2004%20Aug%202014%2009%3A12%3A00%20GMT FILE 
201: "N018E298.laz" 68903966 Mon%2C%2004%20Aug%202014%2009%3A13%3A00%20GMT FILE 
201: "N018E299.laz" 54476107 Mon%2C%2004%20Aug%202014%2009%3A14%3A00%20GMT FILE 
201: "N018E300.laz" 45405557 Mon%2C%2004%20Aug%202014%2009%3A15%3A00%20GMT FILE 
201: "N018E301.laz" 71405855 Mon%2C%2004%20Aug%202014%2009%3A16%3A00%20GMT FILE 
201: "N018E302.laz" 51559386 Mon%2C%2004%20Aug%202014%2009%3A17%3A00%20GMT FILE 
201: "N018E303.laz" 61473269 Mon%2C%2004%20Aug%202014%2009%3A18%3A00%20GMT FILE 
201: "N018E304.laz" 44020546 Mon%2C%2004%20Aug%202014%2009%3A19%3A00%20GMT FILE 
201: "N018E305.laz" 8741045 Mon%2C%2004%20Aug%202014%2009%3A19%3A00%20GMT FILE 
201: "N018E306.laz" 12394739 Mon%2C%2004%20Aug%202014%2009%3A19%3A00%20GMT FILE 
201: "N018E307.laz" 12311791 Mon%2C%2004%20Aug%202014%2009%3A19%3A00%20GMT FILE 
201: "N018E308.laz" 5022625 Mon%2C%2004%20Aug%202014%2009%3A19%3A00%20GMT FILE 
201: "N019E277.laz" 3731919 Mon%2C%2004%20Aug%202014%2009%3A19%3A00%20GMT FILE 
201: "N019E278.laz" 17477662 Mon%2C%2004%20Aug%202014%2009%3A19%3A00%20GMT FILE 
201: "N019E279.laz" 28958100 Mon%2C%2004%20Aug%202014%2009%3A20%3A00%20GMT FILE 
201: "N019E280.laz" 31952277 Mon%2C%2004%20Aug%202014%2009%3A20%3A00%20GMT FILE 
201: "N019E281.laz" 34981713 Mon%2C%2004%20Aug%202014%2009%3A21%3A00%20GMT FILE 
201: "N019E282.laz" 32754494 Mon%2C%2004%20Aug%202014%2009%3A21%3A00%20GMT FILE 
201: "N019E283.laz" 31694587 Mon%2C%2004%20Aug%202014%2009%3A21%3A00%20GMT FILE 
201: "N019E284.laz" 32091474 Mon%2C%2004%20Aug%202014%2009%3A22%3A00%20GMT FILE 
201: "N019E285.laz" 30963058 Mon%2C%2004%20Aug%202014%2009%3A22%3A00%20GMT FILE 
201: "N019E286.laz" 25352911 Mon%2C%2004%20Aug%202014%2009%3A22%3A00%20GMT FILE 
201: "N019E287.laz" 23653050 Mon%2C%2004%20Aug%202014%2009%3A23%3A00%20GMT FILE 
201: "N019E288.laz" 23838715 Mon%2C%2004%20Aug%202014%2009%3A23%3A00%20GMT FILE 
201: "N019E289.laz" 23819766 Mon%2C%2004%20Aug%202014%2009%3A24%3A00%20GMT FILE 
201: "N019E290.laz" 20931550 Mon%2C%2004%20Aug%202014%2009%3A24%3A00%20GMT FILE 
201: "N019E291.laz" 18280926 Mon%2C%2004%20Aug%202014%2009%3A24%3A00%20GMT FILE 
201: "N019E292.laz" 22504091 Mon%2C%2004%20Aug%202014%2009%3A25%3A00%20GMT FILE 
201: "N019E293.laz" 26010171 Mon%2C%2004%20Aug%202014%2009%3A25%3A00%20GMT FILE 
201: "N019E294.laz" 28168306 Fri%2C%2017%20May%202013%2006%3A56%3A00%20GMT FILE 
201: "N019E295.laz" 44750012 Mon%2C%2004%20Aug%202014%2009%3A26%3A00%20GMT FILE 
201: "N019E296.laz" 52611485 Mon%2C%2004%20Aug%202014%2009%3A27%3A00%20GMT FILE 
201: "N019E297.laz" 59008412 Mon%2C%2004%20Aug%202014%2009%3A28%3A00%20GMT FILE 
201: "N019E298.laz" 63468473 Mon%2C%2004%20Aug%202014%2009%3A29%3A00%20GMT FILE 
201: "N019E299.laz" 63232526 Mon%2C%2004%20Aug%202014%2009%3A31%3A00%20GMT FILE 
201: "N019E300.laz" 53189836 Mon%2C%2004%20Aug%202014%2009%3A32%3A00%20GMT FILE 
201: "N019E301.laz" 52916142 Mon%2C%2004%20Aug%202014%2009%3A33%3A00%20GMT FILE 
201: "N019E302.laz" 44648834 Mon%2C%2004%20Aug%202014%2009%3A34%3A00%20GMT FILE 
201: "N019E303.laz" 60921873 Mon%2C%2004%20Aug%202014%2009%3A35%3A00%20GMT FILE 
201: "N019E304.laz" 76697089 Mon%2C%2004%20Aug%202014%2009%3A36%3A00%20GMT FILE 
201: "N019E305.laz" 62262604 Mon%2C%2004%20Aug%202014%2009%3A37%3A00%20GMT FILE 
201: "N019E306.laz" 53803896 Mon%2C%2004%20Aug%202014%2009%3A38%3A00%20GMT FILE 
201: "N019E307.laz" 54997597 Mon%2C%2004%20Aug%202014%2009%3A39%3A00%20GMT FILE 
201: "N019E308.laz" 42695795 Mon%2C%2004%20Aug%202014%2009%3A40%3A00%20GMT FILE 
201: "N019E309.laz" 22209386 Mon%2C%2004%20Aug%202014%2009%3A40%3A00%20GMT FILE 
201: "N019E310.laz" 3193070 Mon%2C%2004%20Aug%202014%2009%3A40%3A00%20GMT FILE 
201: "N020E278.laz" 2530789 Mon%2C%2004%20Aug%202014%2009%3A40%3A00%20GMT FILE 
201: "N020E279.laz" 21390314 Mon%2C%2004%20Aug%202014%2009%3A41%3A00%20GMT FILE 
201: "N020E280.laz" 31446174 Mon%2C%2004%20Aug%202014%2009%3A41%3A00%20GMT FILE 
201: "N020E281.laz" 39879377 Mon%2C%2004%20Aug%202014%2009%3A42%3A00%20GMT FILE 
201: "N020E282.laz" 30918606 Mon%2C%2004%20Aug%202014%2009%3A42%3A00%20GMT FILE 
201: "N020E283.laz" 33328163 Mon%2C%2004%20Aug%202014%2009%3A43%3A00%20GMT FILE 
201: "N020E284.laz" 32164206 Mon%2C%2004%20Aug%202014%2009%3A43%3A00%20GMT FILE 
201: "N020E285.laz" 24957013 Mon%2C%2004%20Aug%202014%2009%3A44%3A00%20GMT FILE 
201: "N020E286.laz" 25446508 Mon%2C%2004%20Aug%202014%2009%3A44%3A00%20GMT FILE 
201: "N020E287.laz" 23105646 Mon%2C%2004%20Aug%202014%2009%3A45%3A00%20GMT FILE 
201: "N020E288.laz" 22758082 Mon%2C%2004%20Aug%202014%2009%3A45%3A00%20GMT FILE 
201: "N020E289.laz" 22960778 Mon%2C%2004%20Aug%202014%2009%3A45%3A00%20GMT FILE 
201: "N020E290.laz" 24203957 Mon%2C%2004%20Aug%202014%2009%3A46%3A00%20GMT FILE 
201: "N020E291.laz" 22807955 Mon%2C%2004%20Aug%202014%2009%3A46%3A00%20GMT FILE 
201: "N020E292.laz" 20904670 Mon%2C%2004%20Aug%202014%2009%3A47%3A00%20GMT FILE 
201: "N020E293.laz" 24990603 Mon%2C%2004%20Aug%202014%2009%3A47%3A00%20GMT FILE 
201: "N020E294.laz" 36083906 Mon%2C%2004%20Aug%202014%2009%3A48%3A00%20GMT FILE 
201: "N020E295.laz" 43470177 Mon%2C%2004%20Aug%202014%2009%3A49%3A00%20GMT FILE 
201: "N020E296.laz" 46465192 Mon%2C%2004%20Aug%202014%2009%3A50%3A00%20GMT FILE 
201: "N020E297.laz" 59225933 Mon%2C%2004%20Aug%202014%2009%3A50%3A00%20GMT FILE 
201: "N020E298.laz" 61304968 Mon%2C%2004%20Aug%202014%2009%3A52%3A00%20GMT FILE 
201: "N020E299.laz" 63087269 Mon%2C%2004%20Aug%202014%2009%3A52%3A00%20GMT FILE 
201: "N020E300.laz" 58399408 Mon%2C%2004%20Aug%202014%2009%3A53%3A00%20GMT FILE 
201: "N020E301.laz" 59405305 Mon%2C%2004%20Aug%202014%2009%3A54%3A00%20GMT FILE 
201: "N020E302.laz" 54868293 Mon%2C%2004%20Aug%202014%2009%3A56%3A00%20GMT FILE 
201: "N020E303.laz" 47600969 Mon%2C%2004%20Aug%202014%2009%3A57%3A00%20GMT FILE 
201: "N020E304.laz" 61245638 Mon%2C%2004%20Aug%202014%2009%3A58%3A00%20GMT FILE 
201: "N020E305.laz" 67289475 Mon%2C%2004%20Aug%202014%2009%3A59%3A00%20GMT FILE 
201: "N020E306.laz" 75532417 Mon%2C%2004%20Aug%202014%2010%3A00%3A00%20GMT FILE 
201: "N020E307.laz" 70443673 Mon%2C%2004%20Aug%202014%2010%3A03%3A00%20GMT FILE 
201: "N020E308.laz" 70480119 Mon%2C%2004%20Aug%202014%2010%3A04%3A00%20GMT FILE 
201: "N020E309.laz" 61200579 Mon%2C%2004%20Aug%202014%2010%3A05%3A00%20GMT FILE 
201: "N020E310.laz" 22548347 Mon%2C%2004%20Aug%202014%2010%3A06%3A00%20GMT FILE 
201: "N020E311.laz" 3647046 Mon%2C%2004%20Aug%202014%2010%3A06%3A00%20GMT FILE 
201: "N021E279.laz" 4679979 Mon%2C%2004%20Aug%202014%2010%3A06%3A00%20GMT FILE 
201: "N021E280.laz" 26921010 Mon%2C%2004%20Aug%202014%2010%3A06%3A00%20GMT FILE 
201: "N021E281.laz" 29891882 Mon%2C%2004%20Aug%202014%2010%3A07%3A00%20GMT FILE 
201: "N021E282.laz" 36977047 Mon%2C%2004%20Aug%202014%2010%3A08%3A00%20GMT FILE 
201: "N021E283.laz" 29113679 Mon%2C%2004%20Aug%202014%2010%3A09%3A00%20GMT FILE 
